x,y,type
377.397,402.078,comb
116.532,412.255,comb
261.588,495.508,comb
412.001,170.31,comb
349.054,517.289,comb
217.657,292.59,comb
143.183,394.264,comb
202.237,300.941,comb
302.26,143.714,comb
149.177,129.114,comb
167.179,150.385,comb
373.985,482.018,comb
202.75,360.414,comb
296.126,275.064,comb
295.935,451.683,comb
423.984,129.311,comb
345.283,216.007,comb
411.843,233.548,comb
277.447,330.121,comb
236.278,397.627,comb
219.945,430.873,comb
337.023,397.379,comb
493.832,354.791,comb
496.688,271.851,comb
162.291,137.093,comb
238.709,257.711,comb
352.486,153.69,comb
304.538,228.58,comb
158.096,104.103,comb
291.411,114.054,comb
484.905,476.248,comb
367.019,349.061,comb
177.924,420.637,comb
230.351,262.549,comb
420.97,184.451,comb
406.251,488.387,comb
413.312,256.261,comb
413.095,449.332,comb
122.891,186.18,comb
288.16,537.052,comb
429.427,235.232,comb
485.693,340.53,comb
474.589,446.726,comb
209.064,145.456,comb
186.914,228.1,comb
278.079,97.5756,comb
478.1,237.803,comb
142.404,330.345,comb
189.353,125.181,comb
129.215,430.602,comb
392.437,275.4,comb
351.195,259.636,comb
476.28,171.076,comb
202.514,275.542,comb
251.088,280.884,comb
478.353,460.398,comb
438.639,119.091,comb
161.654,450.232,comb
256.009,506.877,comb
341.883,417.492,comb
181.418,183.638,comb
355.082,514.559,comb
364.197,157.251,comb
456.32,420.595,comb
318.507,514.845,comb
275.51,230.24,comb
378.736,206.268,comb
336.592,183.645,comb
130.109,317.708,comb
490.765,327.983,comb
429.44,199.266,comb
162.723,167.717,comb
129.289,400.817,comb
181.222,263.432,comb
264.156,438.502,comb
411.113,246.677,comb
263.138,424.073,comb
376.837,192.318,comb
181.799,309.87,comb
79.5607,178.626,comb
86.5783,141.12,comb
320.234,373.092,comb
445.524,167.415,comb
282.677,458.96,comb
164.383,191.728,comb
211.534,186.285,comb
294.17,305.899,comb
429.649,436.805,comb
136.469,347.239,comb
288.41,120.523,comb
403.95,366.003,comb
200.443,397.983,comb
471.443,479.631,comb
133.09,266.07,comb
418.709,498.087,comb
206.264,235.212,comb
190.543,482.479,comb
419.32,416.82,comb
516.509,198.717,comb
363.582,447.276,comb
476.489,430.004,comb
254.583,285.571,comb
166.369,184.731,comb
471.379,118.521,comb
324.535,212.644,comb
435.031,344.011,comb
275.01,229.005,comb
390.181,93.3711,comb
322.218,221.175,comb
204.643,348.092,comb
194.369,314.23,comb
228.642,427.187,comb
213.616,462.14,comb
466.961,439.615,comb
383.151,404.1,comb
295.744,260.682,comb
367.512,157.975,comb
175.682,255.348,comb
186.701,403.804,comb
536.94,207.356,comb
160.767,378.918,comb
198.991,334.781,comb
295.995,233.643,comb
206.574,159.746,comb
361.874,143.621,comb
370.04,285.177,comb
192.015,242.43,comb
212.861,177.148,comb
196.39,206.199,comb
302.514,225.105,comb
401.556,364.913,comb
293.338,298.748,comb
491.46,142.973,comb
171.627,234.963,comb
423.618,428.721,comb
404.441,407.725,comb
352.622,382.335,comb
146.642,136.904,comb
242.986,302.881,comb
442.858,494.412,comb
435.65,384.848,comb
245.315,214.586,comb
333.94,143.941,comb
291.515,235.419,comb
240.474,413.029,comb
158.922,293.174,comb
205.729,175.697,comb
378.61,171.155,comb
231.409,234.166,comb
146.168,486.081,comb
160.652,441.401,comb
446.213,444.412,comb
249.016,205.943,comb
211.186,385.578,comb
326.547,447.38,comb
443.286,255.366,comb
482.652,471.865,comb
474.721,216.647,comb
160.256,424.557,comb
236.169,266.987,comb
152.507,350.669,comb
508.427,180.38,comb
279.077,368.83,comb
274.221,185.281,comb
335.398,359.101,comb
379.698,207.022,comb
252.817,406.584,comb
306.34,333.656,comb
477.346,227.714,comb
438.38,318.872,comb
236.678,376.248,comb
242.335,328.456,comb
215.447,151.037,comb
161.982,342.554,comb
404.164,134.416,comb
470.618,484.341,comb
329.267,445.963,comb
167.217,325.407,comb
331.013,425.24,comb
168.098,450.194,comb
486.322,331.128,comb
417.686,136.764,comb
357.744,385.975,comb
152.056,182.978,comb
457.257,341.47,comb
384.14,442.581,comb
433.76,329.867,comb
423.183,403.637,comb
279.007,297.171,comb
314.307,205.749,comb
243.912,222.155,comb
233.069,446.145,comb
277.936,134.081,comb
194.359,180.897,comb
463.765,255.232,comb
223.498,386.44,comb
166.92,212.84,comb
148.823,308.892,comb
208.849,354.685,comb
437.367,257.355,comb
278.386,348.898,comb
452.275,287.123,comb
219.175,449.57,comb
182.453,326.629,comb
358.423,174.198,comb
293.911,215.26,comb
207.105,327.315,comb
260.855,407.958,comb
241.597,350.829,comb
488.534,335.972,comb
238.845,408.435,comb
400.987,185.195,comb
135.102,359.041,comb
424.968,402.905,comb
154.434,525.169,comb
114.038,427.756,comb
132.203,333.125,comb
179.081,279.688,comb
233.467,230.094,comb
137.392,438.043,comb
113.449,408.425,comb
225.615,171.223,comb
343.937,155.578,comb
490.41,183.506,comb
151.503,473.316,comb
150.709,292.835,comb
230.865,463.997,comb
474.92,298.271,comb
150.472,145.502,comb
447.007,509.521,comb
367.601,326.927,comb
212.97,431.222,comb
150.458,197.464,comb
182.145,494.284,comb
276.055,495.525,comb
396.211,303.034,comb
167.829,189.888,comb
136.691,445.947,comb
163.25,259.811,comb
437.847,317.705,comb
370.984,351.638,comb
258.716,218.498,comb
164.226,445.694,comb
358.726,493.13,comb
283.213,273.648,comb
467.542,223.623,comb
277.117,190.747,comb
381.621,175.404,comb
419.638,510.878,comb
310.906,271.595,comb
209.816,140.876,comb
151.85,426.849,comb
334.464,260.722,comb
158.497,454.247,comb
366.199,446.371,comb
390.783,116.035,comb
399.399,366.516,comb
169.647,197.26,comb
374.993,143.121,comb
417.842,456.11,comb
457.886,145.268,comb
150.594,229.433,comb
466.875,279.424,comb
378.418,490.163,comb
168.589,229.248,comb
458.505,388.851,comb
165.816,452.205,comb
151.416,188.071,comb
383.069,218.49,comb
212.45,244.996,comb
210.849,445.498,comb
223.023,254.318,comb
247.959,219.584,comb
201.815,259.519,comb
473.256,488.507,comb
279.933,454.406,comb
116.897,369.061,comb
401.752,162.418,comb
384.986,396.475,comb
199.62,169.164,comb
347.723,178.27,comb
277.735,102.558,comb
193.454,300.158,comb
235.733,251.708,comb
149.911,384.293,comb
143.33,293.794,comb
300.698,392.02,comb
157.216,225.406,comb
215.512,132.352,comb
212.239,349.798,comb
156.024,377.213,comb
443.873,391.047,comb
200.494,350.735,comb
378.061,113.177,comb
138.222,361.281,comb
283.761,400.277,comb
439.062,255.906,comb
146.635,271.018,comb
260.118,401.58,comb
274.313,264.164,comb
493.492,386.652,comb
392.691,512.932,comb
483.896,228.82,comb
298.074,324.261,comb
409.757,328.186,comb
378.45,238.648,comb
288.126,200.528,comb
254.601,479.446,comb
328.756,174.153,comb
261.612,180.227,comb
463.646,383.662,comb
435.859,315.292,comb
467.258,433.05,comb
450.368,403.892,comb
491.914,272.21,comb
424.451,419.356,comb
140.503,116.978,comb
346.061,292.17,comb
316.35,409.798,comb
372.029,329.519,comb
416.73,303.008,comb
177.581,403.147,comb
366.663,184.682,comb
172.55,312.641,comb
363.818,178.538,comb
340.102,247.199,comb
252.148,184.716,comb
460.667,168.429,comb
258.861,296.211,comb
447.021,406.781,comb
171.25,375.399,comb
133.653,413.26,comb
247.72,104.438,comb
102.489,358.783,comb
402.578,463.628,comb
183.653,143.826,comb
359.597,341.366,comb
233.528,290.068,comb
260.373,309.861,comb
223.331,238.904,comb
428.529,147.906,comb
263.434,338.598,comb
236.903,305.032,comb
309.684,356.104,comb
388.739,345.783,comb
353.387,260.369,comb
166.237,220.663,comb
300.629,184.153,comb
336.077,372.313,comb
218.691,258.201,comb
218.163,280.979,comb
181.62,317.163,comb
158.156,169.946,comb
274.1,401.44,comb
388.129,304.621,comb
278.161,368.305,comb
229.765,234.256,comb
258.628,299.351,comb
493.517,214.463,comb
440.616,396.284,comb
231.19,303.5,comb
424.784,146.117,comb
125.43,204.68,comb
362.193,284.496,comb
362.828,389.997,comb
241.574,501.011,comb
143.758,425.247,comb
480.905,234.684,comb
116.68,250.168,comb
397.491,383.66,comb
476.381,433.697,comb
329.91,288.554,comb
335.392,344.072,comb
292.329,269.781,comb
389.387,368.128,comb
406.012,151.549,comb
308.067,287.702,comb
205.585,417.139,comb
453.959,494.837,comb
269.833,168.831,comb
446.387,155.81,comb
348.234,303.051,comb
384.678,139.225,comb
163.84,280.453,comb
236.105,429.165,comb
388.182,397.524,comb
371.103,163.394,comb
166.395,216.519,comb
286.673,239.371,comb
148.626,337.561,comb
109.817,392.806,comb
344.387,117.353,comb
391.649,161.994,comb
211.57,111.007,comb
367.677,240.514,comb
196.097,379.103,comb
268.479,365.301,comb
309.802,179.761,comb
233.118,426.988,comb
214.301,314.999,comb
417.065,388.784,comb
470.035,480.529,comb
345.516,490.387,comb
457.515,122.061,comb
251.708,275.365,comb
300.05,287.077,comb
489.432,195.726,comb
456.976,247.2,comb
320.599,318.633,comb
323.528,162.198,comb
443.47,373.904,comb
144.883,422.881,comb
179.103,217.442,comb
113.054,141.041,comb
107.691,157.28,comb
476.592,493.912,comb
395.062,239.468,comb
217.693,496.621,comb
266.242,130.333,comb
279.62,435.512,comb
200.448,272.505,comb
170.653,165.52,comb
398.953,304.614,comb
360.007,426.223,comb
231.875,374.651,comb
179.59,296.172,comb
335.566,211.474,comb
353.019,362.655,comb
448.6,427.638,comb
185.706,165.562,comb
441.584,497.027,comb
226.932,448.507,comb
465.319,347.602,comb
304.294,151.051,comb
486.671,132.304,comb
172.213,174.551,comb
412.013,362.352,comb
472.846,328.085,comb
465.541,355.412,comb
368.923,139.652,comb
343.765,336.768,comb
262.212,367.898,comb
267.943,155.556,comb
148.466,255.363,comb
178.868,296.589,comb
149.957,307.084,comb
380.65,233.839,comb
197.414,242.937,comb
313.843,136.596,comb
387.273,376.986,comb
354.148,209.746,comb
462.927,428.546,comb
454.904,284.894,comb
331.965,405.638,comb
448.78,111.398,comb
215.748,338.178,comb
259.246,492.05,comb
436.207,132.91,comb
369.231,431.239,comb
370.807,167.34,comb
395.373,393.529,comb
196.314,445.498,comb
177.975,222.358,comb
153.84,439.183,comb
285.076,221.47,comb
251.508,176.844,comb
262.463,335.343,comb
277.375,330.071,comb
255.216,273.86,comb
313.682,209.332,comb
426.943,294.402,comb
190.633,273.236,comb
185.096,423.678,comb
352.925,249.807,comb
507.404,486.707,comb
410.374,249.88,comb
165.919,310.327,comb
335.625,265.232,comb
174.857,374.646,comb
362.481,287.339,comb
309.863,216.651,comb
435.262,295.639,comb
217.344,413.686,comb
474.453,245.386,comb
268.884,317.306,comb
264.377,198.931,comb
446.596,358.103,comb
264.329,201.155,comb
424.983,216.435,comb
447.1,150.625,comb
250.444,258.013,comb
480.938,413.184,comb
430.293,397.202,comb
365.103,227.083,comb
485.984,392.602,comb
410.901,325.257,comb
136.285,396.193,comb
364.423,248.229,comb
135.229,486.347,comb
449.753,387.894,comb
358.506,305.115,comb
327.025,430.73,comb
250.478,469.255,comb
419.728,444.979,comb
349.892,116.559,comb
224.385,381.776,comb
310.3,402.302,comb
458.545,461.327,comb
481.573,513.298,comb
200.212,189.702,comb
349.216,340.135,comb
240.01,391.137,comb
247.005,490.674,comb
376.308,135.068,comb
467.532,369.061,comb
256.014,488.12,comb
422.054,238.547,comb
157.731,391.964,comb
441.2,319.512,comb
445.813,353.3,comb
381.965,439.299,comb
337.682,331.597,comb
296.644,287.304,comb
207.303,259.315,comb
352.409,175.251,comb
143.552,307.154,comb
471.389,173.473,comb
360.328,433.28,comb
162.012,192.7,comb
490.548,359.131,comb
417.633,228.273,comb
442.326,165.022,comb
236.681,393.279,comb
155.507,378.258,comb
263.157,242.533,comb
357.43,482.098,comb
442.617,333.789,comb
449.926,231.763,comb
277.471,304.046,comb
134.689,336.048,comb
324.028,233.973,comb
209.394,340.041,comb
151.16,398.01,comb
492.195,390.165,comb
402.016,328.577,comb
187.912,290.964,comb
448.651,337.439,comb
466.418,143.759,comb
235.818,441.147,comb
206.383,222.403,comb
433.5,307.05,comb
471.114,334.046,comb
275.6,461.027,comb
436.467,477.934,comb
325.286,534.646,comb
295.734,219.561,comb
240.557,473.378,comb
324.411,483.707,comb
354.463,269.618,comb
369.935,264.218,comb
304.184,230.576,comb
135.175,405.685,comb
277.005,486.282,comb
336.177,424.422,comb
182.676,169.007,comb
192.973,296.26,comb
398.048,192.144,comb
145.766,435.007,comb
436.223,119.94,comb
468.189,370.984,comb
222.023,323.094,comb
247.01,464.538,comb
306.525,328.327,comb
325.183,209.461,comb
434.892,240.705,comb
185.239,454.504,comb
213.961,231.582,comb
298.354,429.176,comb
383.6,462.103,comb
204.21,433.544,comb
114.261,314.9,comb
396.126,197.137,comb
239.176,335.097,comb
382.167,416.394,comb
281.454,129.682,comb
491.358,256.971,comb
428.516,127.754,comb
314.853,341.855,comb
279.796,317.857,comb
122.322,456.336,comb
221.971,332.582,comb
170.912,166.725,comb
178.992,116.575,comb
419.404,144.046,comb
219.078,147.235,comb
414.345,299.577,comb
304.851,280.259,comb
230.862,316.294,comb
421.357,468.205,comb
151.131,236.817,comb
415.36,287.528,comb
346.839,354.235,comb
319.437,285.043,comb
378.22,187.01,comb
334.396,110.365,comb
427.953,258.925,comb
185.092,301.891,comb
177.099,284.543,comb
314.24,494.13,comb
375.171,310.613,comb
261.346,305.905,comb
475.698,198.239,comb
367.54,221.626,comb
304.828,267,comb
372.308,234.384,comb
466.771,419.687,comb
416.117,298.243,comb
312.24,166.431,comb
459.954,355.269,comb
293.909,460.33,comb
385.266,218.274,comb
241.403,159.995,comb
410.772,175.354,comb
386.788,493.955,comb
317.01,500.96,comb
405.905,443.824,comb
254.82,449.157,comb
479.181,459.229,comb
364.729,168.671,comb
486.191,211.469,comb
192.181,296.686,comb
447.895,233.74,comb
262.353,494.884,comb
366.319,432.738,comb
327.686,312.369,comb
367.462,116.699,comb
347.792,333.6,comb
213.132,177.254,comb
124.709,282.089,comb
174.115,324.059,comb
463.769,276.567,comb
243.704,505.881,comb
348.333,195.597,comb
267.307,373.829,comb
276.798,179.807,comb
378.44,268.256,comb
350.115,303.23,comb
400.051,279.33,comb
185.742,293.401,comb
221.541,212.05,comb
477.573,234.984,comb
299.011,155.654,comb
417.815,306.671,comb
360.943,349.745,comb
452.02,250.302,comb
379.643,320.624,comb
258.003,285.046,comb
469.05,247.321,comb
319.654,228.693,comb
240.72,193.172,comb
432.027,496.202,comb
252.559,247.552,comb
412.498,261.428,comb
422.728,435.252,comb
124.025,231.162,comb
384.67,367.318,comb
346.254,462.044,comb
153.8,200.091,comb
469.538,208.881,comb
193.499,324.472,comb
376.66,415.486,comb
321.792,277.875,comb
337.586,262.938,comb
405.768,239.493,comb
236.109,504.93,comb
373.977,389.192,comb
239.423,172.824,comb
289.276,322.802,comb
192.945,299.308,comb
218.841,223.127,comb
243.236,280.934,comb
129.062,288.507,comb
150.907,389.625,comb
411.631,369.984,comb
297.912,488.943,comb
148.169,385.129,comb
272.574,371.732,comb
464.815,202.451,comb
383.583,418.264,comb
167.112,352.853,comb
153.307,304.664,comb
225.916,122.575,comb
247.638,133.804,comb
458.352,246.874,comb
376.227,313.014,comb
255.353,495.775,comb
199.838,203.886,comb
324.312,187.948,comb
205.208,333.465,comb
181.915,468.636,comb
217.1,186.444,comb
297.171,470.868,comb
263.821,400.202,comb
335.965,135.119,comb
547.542,490.698,comb
145.952,364.466,comb
318.575,369.16,comb
173.344,279.718,comb
410.464,407.478,comb
316.759,402.05,comb
199.277,132.435,comb
143.647,366.723,comb
183.685,447.502,comb
309.818,409.238,comb
235.791,308.23,comb
249.371,513.534,comb
209.562,274.2,comb
374.32,311.064,comb
239.957,376.697,comb
389.933,440.286,comb
295.609,461.029,comb
471.285,422.976,comb
346.423,145.379,comb
173.224,346.975,comb
277.541,450.378,comb
176.04,423.64,comb
407.532,291.989,comb
459.399,420.121,comb
287.918,111.589,comb
453.131,214.593,comb
249.127,309.206,comb
140.077,235.861,comb
325.096,249.278,comb
182.988,215.124,comb
138.81,335.889,comb
211.513,503.602,comb
401.359,391.519,comb
239.664,203.051,comb
381.409,336.423,comb
427.325,297.587,comb
172.103,454.368,comb
370.222,166.229,comb
233.535,269.542,comb
485.567,84.9557,comb
302.524,318.348,comb
264.14,479.325,comb
451.682,325.458,comb
388.789,175.669,comb
245.597,305.6,comb
141.945,378.586,comb
121.019,305.505,comb
272.7,197.992,comb
149.08,250.39,comb
369.76,396.56,comb
320.89,282.404,comb
300.008,194.793,comb
291.219,432.651,comb
465.176,136.359,comb
223.3,393.285,comb
242.518,133.902,comb
351.612,389.457,comb
253.001,348.534,comb
228.676,366.225,comb
361.176,481.799,comb
154.155,466.441,comb
326.406,181.45,comb
189.74,486.393,comb
312.084,413.36,comb
406.169,308.905,comb
481.664,260.837,comb
339.208,173.861,comb
352.006,438.38,comb
278.344,256.818,comb
373.351,215.951,comb
267.662,313.719,comb
194.666,304.27,comb
375.041,451.028,comb
362.525,148.788,comb
293.592,450.404,comb
293.396,498.55,comb
417.571,409.016,comb
180.414,193.915,comb
513.819,374.497,comb
330.741,457.98,comb
254.86,133.283,comb
479.825,253.649,comb
383.759,253.552,comb
355.827,439.061,comb
236.529,313.146,comb
285.582,229.941,comb
454.375,333.152,comb
239.324,439.624,comb
203.586,154.325,comb
178.035,392.47,comb
126.896,442.047,comb
131.596,289.271,comb
287.254,129.061,comb
206.075,354.167,comb
113.949,205.185,comb
180.566,217.474,comb
269.533,467.357,comb
328.729,293.558,comb
279.858,376.751,comb
305.343,234.544,comb
287.302,126.966,comb
363.845,288.363,comb
244.943,362.288,comb
397.448,397.487,comb
200.149,262.043,comb
209.752,158.509,comb
268.185,126.845,comb
111.806,256.527,comb
305.277,173.255,comb
502.878,166.642,comb
166.266,367.957,comb
265.455,140.614,comb
480.241,336.895,comb
398.309,385.857,comb
157.745,300.898,comb
233.706,254.884,comb
347.929,150.283,comb
297.646,403.852,comb
231.764,162.284,comb
494.647,205.478,comb
308.402,113.133,comb
382.055,339.005,comb
295.966,381.2,comb
414.108,465.911,comb
236.016,385.788,comb
329.978,171.897,comb
177.674,487.445,comb
468.946,340.764,comb
278.819,289.535,comb
247.2,246.705,comb
317.131,308.783,comb
307.606,206.511,comb
265.626,145.532,comb
512.023,164.598,comb
423.336,268.098,comb
480.978,245.995,comb
164.516,322.62,comb
480.069,375.41,comb
269.565,195.891,comb
193.417,456.64,comb
293.405,185.448,comb
307.559,474.57,comb
165.655,300.679,comb
137.377,428.003,comb
461.139,278.652,comb
525.217,131.08,comb
261.32,469.282,comb
236.435,159.138,comb
440.916,206.211,comb
375.879,382.783,comb
436.12,329.5,comb
91.5132,470.505,comb
462.101,238.001,comb
418.683,119.646,comb
316.361,406.678,comb
327.735,417.522,comb
460.319,351.468,comb
136.222,255.586,comb
284.89,397.552,comb
301.321,483.127,comb
224.495,208.163,comb
462.105,128.454,comb
385.955,140.02,comb
488.617,453.316,comb
163.205,327.045,comb
324.631,391.191,comb
450.963,413.42,comb
220.17,330.577,comb
460.854,340.819,comb
150.287,271.74,comb
468.603,458.202,comb
229.965,253.809,comb
175.114,201.765,comb
202.574,226.769,comb
252.873,479.087,comb
